Nombre de cellules à J0,139
Nombre de cellules à J5,625
Nombre de mitoses totale,674
Nombre de cycles mitotiques,4.84892
Nombre de mitoses normales,567
Nombre de mitoses anormales,107
Nombre de mitoses non dichotomiques,66
Nombre de refusions après mitose,83
Nombre total de morts,101
Nombre de mort sans mitose,7
Nombre de mort après mitose,94
Nombre de sorties,84
Longueur moyenne entre deux cycles,157
Longueur moyenne entre T0 et première division,181
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C639,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C833,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138
Nombre de divisions,0,1,9,2,1,0,11,7,0,0,6,9,7,9,12,1,8,8,6,2,2,8,13,13,12,0,8,0,7,0,5,4,1,16,7,9,1,1,11,3,2,1,8,4,15,8,19,11,0,2,13,7,3,1,4,0,12,0,13,0,0,1,0,10,8,13,5,1,0,2,5,7,0,5,0,0,0,10,6,9,0,7,8,0,5,2,7,1,5,0,4,0,1,0,1,6,1,0,13,4,7,1,9,7,0,7,3,7,6,2,6,5,3,10,4,3,0,0,5,1,4,0,0,2,18,5,10,2,2,23,15,4,0,5,2,0,4,0,2
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Nombre de cellules concernées,32,16,13,5,9,10,6,12,8,6,4,3,3,6,0,2,1,0,1,1,0,0,0,1
