Nombre de cellules à J0,16
Nombre de cellules à J5,48
Nombre de mitoses totale,69
Nombre de cycles mitotiques,4.3125
Nombre de mitoses normales,50
Nombre de mitoses anormales,19
Nombre de mitoses non dichotomiques,14
Nombre de refusions après mitose,16
Nombre total de morts,27
Nombre de mort sans mitose,1
Nombre de mort après mitose,26
Nombre de sorties,9
Longueur moyenne entre deux cycles,164
Longueur moyenne entre T0 et première division,147
,
Nom des cellules,C1,C2,C3,C4,C6,C5,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
Nombre de divisions,0,7,5,3,1,6,2,9,7,12,3,4,3,7,0,0
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12
Nombre de cellules concernées,3,1,1,3,1,1,1,3,0,1,0,0,1
