Nombre de cellules à J0,15
Nombre de cellules à J5,13
Nombre de mitoses totale,22
Nombre de cycles mitotiques,1.46667
Nombre de mitoses normales,12
Nombre de mitoses anormales,10
Nombre de mitoses non dichotomiques,5
Nombre de refusions après mitose,12
Nombre total de morts,11
Nombre de mort sans mitose,2
Nombre de mort après mitose,9
Nombre de sorties,7
Longueur moyenne entre deux cycles,156
Longueur moyenne entre T0 et première division,293
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Nombre de divisions,1,1,0,1,1,1,1,6,1,5,0,0,3,1,0
,
Nombre de divisions,0,1,2,3,4,5,6
Nombre de cellules concernées,4,8,0,1,0,1,1
