Nombre de cellules à J0,22
Nombre de cellules à J5,35
Nombre de mitoses totale,59
Nombre de cycles mitotiques,2.68182
Nombre de mitoses normales,40
Nombre de mitoses anormales,19
Nombre de mitoses non dichotomiques,10
Nombre de refusions après mitose,22
Nombre total de morts,26
Nombre de mort sans mitose,0
Nombre de mort après mitose,26
Nombre de sorties,9
Longueur moyenne entre deux cycles,173
Longueur moyenne entre T0 et première division,217
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22
Nombre de divisions,2,0,3,0,0,7,8,1,1,1,1,9,1,1,9,5,1,2,4,1,1,1
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9
Nombre de cellules concernées,3,10,2,1,1,1,0,1,1,2
