Nombre de cellules à J0,17
Nombre de cellules à J5,28
Nombre de mitoses totale,38
Nombre de cycles mitotiques,2.23529
Nombre de mitoses normales,25
Nombre de mitoses anormales,13
Nombre de mitoses non dichotomiques,10
Nombre de refusions après mitose,18
Nombre total de morts,13
Nombre de mort sans mitose,2
Nombre de mort après mitose,11
Nombre de sorties,6
Longueur moyenne entre deux cycles,170
Longueur moyenne entre T0 et première division,198
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
Nombre de divisions,0,0,1,1,1,0,1,0,1,1,0,5,5,2,2,6,12
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12
Nombre de cellules concernées,5,6,2,0,0,2,1,0,0,0,0,0,1
