Nombre de cellules à J0,10
Nombre de cellules à J5,23
Nombre de mitoses totale,26
Nombre de cycles mitotiques,2.6
Nombre de mitoses normales,14
Nombre de mitoses anormales,12
Nombre de mitoses non dichotomiques,7
Nombre de refusions après mitose,12
Nombre total de morts,10
Nombre de mort sans mitose,0
Nombre de mort après mitose,10
Nombre de sorties,1
Longueur moyenne entre deux cycles,159
Longueur moyenne entre T0 et première division,284
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Nombre de divisions,0,1,3,2,2,5,1,3,1,8
,
Nombre de divisions,0,1,2,3,4,5,6,7,8
Nombre de cellules concernées,1,3,2,2,0,1,0,0,1
