Nombre de cellules à J0,215
Nombre de cellules à J5,261
Nombre de mitoses totale,328
Nombre de cycles mitotiques,1.52558
Nombre de mitoses normales,184
Nombre de mitoses anormales,144
Nombre de mitoses non dichotomiques,87
Nombre de refusions après mitose,142
Nombre total de morts,152
Nombre de mort sans mitose,26
Nombre de mort après mitose,126
Nombre de sorties,89
Longueur moyenne entre deux cycles,193
Longueur moyenne entre T0 et première division,264
,
Nom des cellules,C1,C2,C3,C4,C5,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,CC24,CC25,CC26,CC27,CC28,CC29,CC30,CC31,CC32,CC33,CC34,CC35,CC36,CC37,CC38,CC39,CC40,CC41,CCC42,CCC43,CCC44,CCC45,CCC46,CCC47,CCC48,CCC49,CCC50,CCC51,CCC52,CCC53,CCC54,CCC55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,CC75,CC76,CC77,CC78,CC79,CC80,CC81,CC82,CC83,CC84,CC85,CC86,CCC87,CCC88,CCC89,CCC90,CCC91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,CC112,CC113,CC114,CC115,CC116,CC117,CC118,CC119,CC120,CC121,CC122,CC123,CC124,CC125,CC126,CC127,CC128,CC129,CC130,CC131,CC132,CC133,CC134,CCC135,CCC136,CCC137,CCC138,CCC139,CCC140,CCC141,CCC142,CCC143,CCC144,C152,C153,C153.1,C154,C155,C156,C157,C158,C159,CC160,CC161,CC162,CC163,CC164,CCC165,CCC166,CCC167,CCC168,CCC169,CCC170,CCC171,CCC172,CCC173,CCC174,CCC175,CCC176,CCC178,C180,C181,C182,C183,C184,C185,C187,C186,C188,C189,C190,C191,C192,C193,C194,C195,C196,C197,CC198,CC199,CC200,CC201,CC202,CC203,CC204,CC205,CC206,CC207,CC208,CC209,CC210,CC211,CC212,CC213,CCC214,CCC215,CCC216,CCC217,CCC218,CCC219,CCC220,CCC221,CCC222,CCC223,CCC224
Nombre de divisions,3,0,0,0,2,1,1,0,0,0,4,0,3,3,1,1,1,1,2,1,9,3,2,1,1,0,0,1,2,2,3,5,0,0,1,1,4,2,1,0,0,0,1,5,0,3,0,1,1,0,2,3,5,2,1,1,0,3,1,4,1,1,0,1,1,3,2,0,6,0,0,1,0,0,2,0,1,1,0,2,0,0,1,1,3,2,1,3,0,1,1,1,1,2,3,2,3,4,0,14,0,3,8,3,4,1,0,0,0,2,1,0,2,2,1,2,0,0,0,5,6,7,3,0,1,2,9,1,0,1,1,1,1,0,1,3,2,2,5,1,3,1,8,0,0,0,1,1,1,1,4,0,0,0,0,1,3,1,1,1,1,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,4,6,0,0,0,1,1,0,1,1,6,3,0,1,1,0,0,0,3,2,3,0,0,1,1,2,0,5,2,0,3,0,2
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Nombre de cellules concernées,77,66,25,23,7,6,5,1,2,2,0,0,0,0,1
