Nombre de cellules à J0,5
Nombre de cellules à J5,0
Nombre de mitoses totale,7
Nombre de cycles mitotiques,1.4
Nombre de mitoses normales,6
Nombre de mitoses anormales,1
Nombre de mitoses non dichotomiques,1
Nombre de refusions après mitose,0
Nombre total de morts,1
Nombre de mort sans mitose,0
Nombre de mort après mitose,1
Nombre de sorties,2
Longueur moyenne entre deux cycles,207
Longueur moyenne entre T0 et première division,146
,
Nom des cellules,C1,C2,C3,C4,C5
Nombre de divisions,0,2,3,1,1
,
Nombre de divisions,0,1,2,3
Nombre de cellules concernées,1,2,1,1
