Nombre de cellules à J0,9
Nombre de cellules à J5,0
Nombre de mitoses totale,18
Nombre de cycles mitotiques,2
Nombre de mitoses normales,17
Nombre de mitoses anormales,1
Nombre de mitoses non dichotomiques,1
Nombre de refusions après mitose,0
Nombre total de morts,3
Nombre de mort sans mitose,0
Nombre de mort après mitose,3
Nombre de sorties,1
Longueur moyenne entre deux cycles,234
Longueur moyenne entre T0 et première division,109
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9
Nombre de divisions,1,3,1,1,3,3,2,2,2
,
Nombre de divisions,0,1,2,3
Nombre de cellules concernées,0,3,3,3
