Nombre de cellules à J0,50
Nombre de cellules à J5,0
Nombre de mitoses totale,315
Nombre de cycles mitotiques,6.3
Nombre de mitoses normales,307
Nombre de mitoses anormales,8
Nombre de mitoses non dichotomiques,3
Nombre de refusions après mitose,5
Nombre total de morts,5
Nombre de mort sans mitose,1
Nombre de mort après mitose,4
Nombre de sorties,5
Longueur moyenne entre deux cycles,135
Longueur moyenne entre T0 et première division,90
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50
Nombre de divisions,6,15,6,3,7,5,7,3,4,7,3,5,9,10,14,8,4,0,8,7,11,2,5,7,15,7,7,2,7,4,7,7,7,1,4,1,7,9,13,14,1,7,2,7,4,7,7,7,1,4
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Nombre de cellules concernées,1,4,3,3,6,3,2,17,2,2,1,1,0,1,2,2
