Nombre de cellules à J0,40
Nombre de cellules à J5,133
Nombre de mitoses totale,101
Nombre de cycles mitotiques,2.525
Nombre de mitoses normales,97
Nombre de mitoses anormales,4
Nombre de mitoses non dichotomiques,4
Nombre de refusions après mitose,0
Nombre total de morts,7
Nombre de mort sans mitose,0
Nombre de mort après mitose,7
Nombre de sorties,5
Longueur moyenne entre deux cycles,186
Longueur moyenne entre T0 et première division,110
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40
Nombre de divisions,1,3,1,1,3,3,2,2,2,5,7,7,4,2,5,6,5,6,3,3,3,3,1,2,1,1,3,0,2,3,1,1,1,1,1,2,1,1,1,1
,
Nombre de divisions,0,1,2,3,4,5,6,7
Nombre de cellules concernées,1,15,7,9,1,3,2,2
