Nombre de cellules à J0,7
Nombre de cellules à J5,0
Nombre de mitoses totale,20
Nombre de cycles mitotiques,2.85714
Nombre de mitoses normales,18
Nombre de mitoses anormales,2
Nombre de mitoses non dichotomiques,2
Nombre de refusions après mitose,0
Nombre total de morts,2
Nombre de mort sans mitose,0
Nombre de mort après mitose,2
Nombre de sorties,1
Longueur moyenne entre deux cycles,173
Longueur moyenne entre T0 et première division,139
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7
Nombre de divisions,5,3,2,1,3,6,0
,
Nombre de divisions,0,1,2,3,4,5,6
Nombre de cellules concernées,1,1,1,2,0,1,1
