Nombre de cellules à J0,14
Nombre de cellules à J5,0
Nombre de mitoses totale,48
Nombre de cycles mitotiques,3.42857
Nombre de mitoses normales,48
Nombre de mitoses anormales,0
Nombre de mitoses non dichotomiques,0
Nombre de refusions après mitose,0
Nombre total de morts,3
Nombre de mort sans mitose,1
Nombre de mort après mitose,2
Nombre de sorties,1
Longueur moyenne entre deux cycles,150
Longueur moyenne entre T0 et première division,124
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
Nombre de divisions,0,0,1,1,5,7,3,7,3,4,3,3,6,5
,
Nombre de divisions,0,1,2,3,4,5,6,7
Nombre de cellules concernées,2,2,0,4,1,2,1,2
