Nombre de cellules à J0,16
Nombre de cellules à J5,6
Nombre de mitoses totale,12
Nombre de cycles mitotiques,0.75
Nombre de mitoses normales,1
Nombre de mitoses anormales,11
Nombre de mitoses non dichotomiques,8
Nombre de refusions après mitose,12
Nombre total de morts,13
Nombre de mort sans mitose,3
Nombre de mort après mitose,10
Nombre de sorties,2
Longueur moyenne entre deux cycles,63
Longueur moyenne entre T0 et première division,383
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
Nombre de divisions,0,0,1,1,2,0,0,1,1,1,0,1,1,0,1,2
,
Nombre de divisions,0,1,2
Nombre de cellules concernées,6,8,2
