Nombre de cellules à J0,24
Nombre de cellules à J5,0
Nombre de mitoses totale,37
Nombre de cycles mitotiques,1.54167
Nombre de mitoses normales,23
Nombre de mitoses anormales,14
Nombre de mitoses non dichotomiques,7
Nombre de refusions après mitose,13
Nombre total de morts,16
Nombre de mort sans mitose,2
Nombre de mort après mitose,14
Nombre de sorties,36
Longueur moyenne entre deux cycles,165
Longueur moyenne entre T0 et première division,198
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22',C22,C24
Nombre de divisions,1,1,1,0,1,3,1,5,0,4,5,3,0,1,0,2,0,0,3,2,0,4,0,0
Nombre de cellules finales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,
Nombre de divisions constaté,0,1,2,3,4,5
Nombre de cellules concernées,9,6,2,3,2,2
,
Nombre de cellules finales constaté,0
Nombre de cellules concernées,24
,
Jours, D1, D2, D3, D4, D5
Nombre de morts par jour,0,0,3,12,1
Nombre de mitoses par jour,3,16,12,4,2
Nombre de mitoses anormale par jour ,2,4,4,4,0
Nombre de mitoses non dichotimiques par jour ,2,1,2,2,0
Nombre de fusions par jour ,0,0,7,5,1
