Nombre de cellules à J0,7
Nombre de cellules à J5,3
Nombre de mitoses totale,6
Nombre de cycles mitotiques,0.857143
Nombre de mitoses normales,3
Nombre de mitoses anormales,3
Nombre de mitoses non dichotomiques,2
Nombre de refusions après mitose,2
Nombre total de morts,8
Nombre de mort sans mitose,3
Nombre de mort après mitose,5
Nombre de sorties,1
Longueur moyenne entre deux cycles,281
Longueur moyenne entre T0 et première division,162
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7
Nombre de divisions,0,2,0,0,2,2,0
,
Nombre de divisions,0,1,2
Nombre de cellules concernées,4,0,3
