Nombre de cellules à J0,8
Nombre de cellules à J5,1
Nombre de mitoses totale,4
Nombre de cycles mitotiques,0.5
Nombre de mitoses normales,3
Nombre de mitoses anormales,1
Nombre de mitoses non dichotomiques,1
Nombre de refusions après mitose,2
Nombre total de morts,8
Nombre de mort sans mitose,2
Nombre de mort après mitose,6
Nombre de sorties,2
Longueur moyenne entre deux cycles,0
Longueur moyenne entre T0 et première division,322
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8
Nombre de divisions,0,1,0,0,1,1,0,1
,
Nombre de divisions,0,1
Nombre de cellules concernées,4,4
