Nombre de cellules à J0,7
Nombre de cellules à J5,1
Nombre de mitoses totale,2
Nombre de cycles mitotiques,0.285714
Nombre de mitoses normales,1
Nombre de mitoses anormales,1
Nombre de mitoses non dichotomiques,1
Nombre de refusions après mitose,1
Nombre total de morts,4
Nombre de mort sans mitose,2
Nombre de mort après mitose,2
Nombre de sorties,4
Longueur moyenne entre deux cycles,0
Longueur moyenne entre T0 et première division,258
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7
Nombre de divisions,1,1,0,0,0,0,0
,
Nombre de divisions,0,1
Nombre de cellules concernées,5,2
