Nombre de cellules à J0,80
Nombre de cellules à J5,18
Nombre de mitoses totale,46
Nombre de cycles mitotiques,0.575
Nombre de mitoses normales,19
Nombre de mitoses anormales,27
Nombre de mitoses non dichotomiques,18
Nombre de refusions après mitose,35
Nombre total de morts,60
Nombre de mort sans mitose,21
Nombre de mort après mitose,39
Nombre de sorties,32
Longueur moyenne entre deux cycles,258
Longueur moyenne entre T0 et première division,256
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C76,C77,C78,C79,C80,C81
Nombre de divisions,0,0,1,3,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,2,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,2,2,0,1,1,0,1,0,2,1,1,1,1,0
,
Nombre de divisions,0,1,2,3
Nombre de cellules concernées,42,31,6,1
