Nombre de cellules à J0,22
Nombre de cellules à J5,95
Nombre de mitoses totale,104
Nombre de cycles mitotiques,4.72727
Nombre de mitoses normales,89
Nombre de mitoses anormales,15
Nombre de mitoses non dichotomiques,13
Nombre de refusions après mitose,9
Nombre total de morts,17
Nombre de mort sans mitose,0
Nombre de mort après mitose,17
Nombre de sorties,20
Longueur moyenne entre deux cycles,158
Longueur moyenne entre T0 et première division,157
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22
Nombre de divisions,0,5,1,4,0,0,2,18,5,10,2,2,23,15,4,0,5,2,0,4,0,2
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Nombre de cellules concernées,6,1,5,0,3,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
