Nombre de cellules à J0,6
Nombre de cellules à J5,2
Nombre de mitoses totale,5
Nombre de cycles mitotiques,0.833333
Nombre de mitoses normales,3
Nombre de mitoses anormales,2
Nombre de mitoses non dichotomiques,1
Nombre de refusions après mitose,2
Nombre total de morts,10
Nombre de mort sans mitose,2
Nombre de mort après mitose,8
Nombre de sorties,0
Longueur moyenne entre deux cycles,39
Longueur moyenne entre T0 et première division,248
,
Nom des cellules,C1,C2,C3,C4,C5,C6
Nombre de divisions,1,0,2,0,1,1
,
Nombre de divisions,0,1,2
Nombre de cellules concernées,2,3,1
