Nombre de cellules à J0,6
Nombre de cellules à J5,2
Nombre de mitoses totale,1
Nombre de cycles mitotiques,0.166667
Nombre de mitoses normales,1
Nombre de mitoses anormales,0
Nombre de mitoses non dichotomiques,0
Nombre de refusions après mitose,0
Nombre total de morts,3
Nombre de mort sans mitose,2
Nombre de mort après mitose,1
Nombre de sorties,2
Longueur moyenne entre deux cycles,0
Longueur moyenne entre T0 et première division,398
,
Nom des cellules,C1,C2,C3,C4,C5,C6
Nombre de divisions,0,0,0,0,0,1
,
Nombre de divisions,0,1
Nombre de cellules concernées,5,1
