Nombre de cellules à J0,447
Nombre de cellules à J5,82
Nombre de mitoses totale,344
Nombre de cycles mitotiques,0.769575
Nombre de mitoses normales,82
Nombre de mitoses anormales,262
Nombre de mitoses non dichotomiques,201
Nombre de refusions après mitose,385
Nombre total de morts,397
Nombre de mort sans mitose,65
Nombre de mort après mitose,332
Nombre de sorties,170
Longueur moyenne entre deux cycles,198
Longueur moyenne entre T0 et première division,309
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C55',C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91',C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119',C119,C120,C121,C122,C123,C124,C125,C1366,C1367,C1368,C1369,C130,C131,C131',C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C1607,C1608,C1609,C150,C151,C152,C153,C154,C155,C156,C157,C158,C159,C160,C161,C162,C162',C163,C164,C165,C166,C167,C168,C169,C170,C171,C172,C173,C174,C175,C176,C177,C178,C179,C180,C181,C182,C183,C185,C186,C187,C188,C189,C190,C191,C192,C193,C194,C2179,C200,C201,C202,C203,C204,C205,C206,C207,C208,C209,C210,C211,C212,C213,C214,C215,C216,C217,C218,C219,C220,C221,C222,C195,C196,C197,C198,C2433,C2434,C2435,C2436,C2437,C2438,C2439,C2440,C2441,C2442,C2443,C2444,C2445,C2446,C2447,C2448,C2449,C240,C241,C242',C242,C243,C244,C245,C246,C247,C248,C249,C250,C2751,C2752,C2753,C2754,C2755,C2756,C2757,C2758,C2759,C2760,C2761,C2762,C2763,C2764,C2765,C2766,C2767,C2768,C2769,C270,C271,C272,C273,C274,C275,C276,C277,C278,C279,C280,C3081,C3082,C3083,C3084,C3085,C3086,C3087,C3088,C3089,C3090,C3091,C3092,C3093,C3094,C3095,C3096,C3097,C3098,C3099,C300,C301,C302,C303,C304,C305,C306,C307,C308,C309,C310,C311,C312,C313,C314,C315,C316,C317,C318,C319,C320,C321,C322,C323,C324,C325,C326,C327,C328,C329,C330,C331,C332,C333,C334,C335,C336,C337,C338,C339,C340,C341,C342,C343,C344,C345,C346,C347,C348,C349,C350,C351,C352,C353,C354,C355,C356,C357,C358,C3939,C3940,C3941,C3942,C3943,C3944,C3945,C3946,C3947,C3948,C3949,C3950,C3951,C3952,C3953,C3954,C3955,C3956,C3957,C3958,C3959,C3960,C3961,C3962,C3963,C3964,C3965,C3966,C3967,C3968,C3969,C390,C391,C392,C393,C394,C395,C396,C397,C398,C399,C400,C401,C402,C403,C404,C405,C406,C407,C408,C409,C410,C411,C412,C413,C414,C415,C416,C417,C418,C419,C420,C421,C422,C423,C424,C425,C426,C427,C428,C429,C430,C431,C432,C433,C434,C435,C436,C437,C438,C439,C440,C441,C442
Nombre de divisions,1,0,1,1,1,1,1,1,1,1,0,1,1,2,2,2,0,0,1,0,1,2,1,2,1,1,1,0,1,1,0,0,1,0,1,0,2,2,0,1,1,1,0,1,2,3,1,1,1,1,3,1,0,1,0,1,1,0,1,2,1,1,1,0,2,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,2,0,2,2,1,1,0,0,0,0,2,0,1,1,1,0,1,0,0,1,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,2,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,2,2,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,2,2,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,0,0,1,1,1,2,0,1,1,2,1,0,1,0,1,1,0,0,1,1,1,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,4,2,2,0,0,0,3,5,0,1,1,0,1,0,0,1,1,2,2,1,0,0,2,1,0,0,1,0,3,0,1,0,1,2,2,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,2,3,1,2,2,0,1,0,0,0,1,2,0,2,1,1,1,1,0,0,3,1,2,1,0,0,2,0,1,0,1,0,1,1,0,2,0,2,0,0,0,0,0,2,0,0,3,0,0,0,1,0,0,1,2,1,1,0,2,1,3,1,1,0,1,0,0,1,0,0,1,1,2,2,0,1,0,1,0,1,0,1,0,0,0,1,3,1,1,0,1,1,1,0,2,1,1,4,2,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1
,
Nombre de divisions,0,1,2,3,4,5
Nombre de cellules concernées,180,207,47,10,2,1
