Nombre de cellules à J0,23
Nombre de cellules à J5,4
Nombre de mitoses totale,22
Nombre de cycles mitotiques,0.956522
Nombre de mitoses normales,3
Nombre de mitoses anormales,19
Nombre de mitoses non dichotomiques,15
Nombre de refusions après mitose,34
Nombre total de morts,23
Nombre de mort sans mitose,3
Nombre de mort après mitose,20
Nombre de sorties,4
Longueur moyenne entre deux cycles,225
Longueur moyenne entre T0 et première division,289
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23
Nombre de divisions,1,0,1,1,1,1,1,1,1,1,0,1,1,2,2,2,0,0,1,0,1,2,1
,
Nombre de divisions,0,1,2
Nombre de cellules concernées,5,14,4
