Nombre de cellules à J0,18
Nombre de cellules à J5,1
Nombre de mitoses totale,8
Nombre de cycles mitotiques,0.444444
Nombre de mitoses normales,0
Nombre de mitoses anormales,8
Nombre de mitoses non dichotomiques,6
Nombre de refusions après mitose,12
Nombre total de morts,11
Nombre de mort sans mitose,1
Nombre de mort après mitose,10
Nombre de sorties,9
Longueur moyenne entre deux cycles,178
Longueur moyenne entre T0 et première division,368
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
Nombre de divisions,0,0,0,0,0,1,2,1,0,1,0,0,1,0,0,1,1,0
,
Nombre de divisions,0,1,2
Nombre de cellules concernées,11,6,1
