Nombre de cellules à J0,24
Nombre de cellules à J5,4
Nombre de mitoses totale,16
Nombre de cycles mitotiques,0.666667
Nombre de mitoses normales,1
Nombre de mitoses anormales,15
Nombre de mitoses non dichotomiques,12
Nombre de refusions après mitose,18
Nombre total de morts,16
Nombre de mort sans mitose,2
Nombre de mort après mitose,14
Nombre de sorties,12
Longueur moyenne entre deux cycles,221
Longueur moyenne entre T0 et première division,322
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24
Nombre de divisions,1,0,1,1,1,0,1,1,2,2,1,0,1,0,1,0,0,1,1,1,0,0,0,0
,
Nombre de divisions,0,1,2
Nombre de cellules concernées,10,12,2
