Nombre de cellules à J0,8
Nombre de cellules à J5,0
Nombre de mitoses totale,70
Nombre de cycles mitotiques,8.75
Nombre de mitoses normales,66
Nombre de mitoses anormales,4
Nombre de mitoses non dichotomiques,4
Nombre de refusions après mitose,1
Nombre total de morts,3
Nombre de mort sans mitose,0
Nombre de mort après mitose,3
Nombre de sorties,4
Longueur moyenne entre deux cycles,131
Longueur moyenne entre T0 et première division,117
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8
Nombre de divisions,7,7,11,0,16,14,9,6
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Nombre de cellules concernées,1,0,0,0,0,0,1,2,0,1,0,1,0,0,1,0,1
