Nombre de cellules à J0,6
Nombre de cellules à J5,0
Nombre de mitoses totale,36
Nombre de cycles mitotiques,6
Nombre de mitoses normales,35
Nombre de mitoses anormales,1
Nombre de mitoses non dichotomiques,1
Nombre de refusions après mitose,1
Nombre total de morts,4
Nombre de mort sans mitose,1
Nombre de mort après mitose,3
Nombre de sorties,1
Longueur moyenne entre deux cycles,134
Longueur moyenne entre T0 et première division,102
,
Nom des cellules,C1,C2,C3,C4,C5,C6
Nombre de divisions,0,8,5,11,7,5
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11
Nombre de cellules concernées,1,0,0,0,0,2,0,1,1,0,0,1
