Nombre de cellules à J0,11
Nombre de cellules à J5,0
Nombre de mitoses totale,79
Nombre de cycles mitotiques,7.18182
Nombre de mitoses normales,74
Nombre de mitoses anormales,5
Nombre de mitoses non dichotomiques,5
Nombre de refusions après mitose,1
Nombre total de morts,4
Nombre de mort sans mitose,0
Nombre de mort après mitose,4
Nombre de sorties,2
Longueur moyenne entre deux cycles,148
Longueur moyenne entre T0 et première division,130
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Nombre de divisions,6,12,7,8,6,13,9,4,0,6,8
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Nombre de cellules concernées,1,0,0,0,1,0,3,1,2,1,0,0,1,1
