Nombre de cellules à J0,4
Nombre de cellules à J5,0
Nombre de mitoses totale,33
Nombre de cycles mitotiques,8.25
Nombre de mitoses normales,33
Nombre de mitoses anormales,0
Nombre de mitoses non dichotomiques,0
Nombre de refusions après mitose,0
Nombre total de morts,6
Nombre de mort sans mitose,0
Nombre de mort après mitose,6
Nombre de sorties,0
Longueur moyenne entre deux cycles,151
Longueur moyenne entre T0 et première division,83
,
Nom des cellules,C1,C2,C3,C4
Nombre de divisions,7,8,6,12
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12
Nombre de cellules concernées,0,0,0,0,0,0,1,1,1,0,0,0,1
