Nombre de cellules à J0,6
Nombre de cellules à J5,0
Nombre de mitoses totale,59
Nombre de cycles mitotiques,9.83333
Nombre de mitoses normales,59
Nombre de mitoses anormales,0
Nombre de mitoses non dichotomiques,0
Nombre de refusions après mitose,0
Nombre total de morts,2
Nombre de mort sans mitose,0
Nombre de mort après mitose,2
Nombre de sorties,0
Longueur moyenne entre deux cycles,140
Longueur moyenne entre T0 et première division,118
,
Nom des cellules,C1,C2,C3,C4,C5,C6
Nombre de divisions,15,11,9,4,13,7
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Nombre de cellules concernées,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1
