Nombre de cellules à J0,4
Nombre de cellules à J5,0
Nombre de mitoses totale,13
Nombre de cycles mitotiques,3.25
Nombre de mitoses normales,12
Nombre de mitoses anormales,1
Nombre de mitoses non dichotomiques,1
Nombre de refusions après mitose,2
Nombre total de morts,6
Nombre de mort sans mitose,0
Nombre de mort après mitose,6
Nombre de sorties,3
Longueur moyenne entre deux cycles,196
Longueur moyenne entre T0 et première division,114
,
Nom des cellules,C1,C2,C3,C4
Nombre de divisions,6,4,0,3
,
Nombre de divisions,0,1,2,3,4,5,6
Nombre de cellules concernées,1,0,0,1,1,0,1
