Nombre de cellules à J0,9
Nombre de cellules à J5,0
Nombre de mitoses totale,55
Nombre de cycles mitotiques,6.11111
Nombre de mitoses normales,51
Nombre de mitoses anormales,4
Nombre de mitoses non dichotomiques,3
Nombre de refusions après mitose,2
Nombre total de morts,7
Nombre de mort sans mitose,0
Nombre de mort après mitose,7
Nombre de sorties,0
Longueur moyenne entre deux cycles,168
Longueur moyenne entre T0 et première division,122
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9
Nombre de divisions,2,1,13,3,6,11,3,9,7
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Nombre de cellules concernées,0,1,1,2,0,0,1,1,0,1,0,1,0,1
