Nombre de cellules à J0,6
Nombre de cellules à J5,0
Nombre de mitoses totale,5
Nombre de cycles mitotiques,0.833333
Nombre de mitoses normales,4
Nombre de mitoses anormales,1
Nombre de mitoses non dichotomiques,1
Nombre de refusions après mitose,0
Nombre total de morts,1
Nombre de mort sans mitose,0
Nombre de mort après mitose,1
Nombre de sorties,1
Longueur moyenne entre deux cycles,237
Longueur moyenne entre T0 et première division,176
,
Nom des cellules,C1,C2,C3,C4,C5,C6
Nombre de divisions,2,0,1,2,0,0
,
Nombre de divisions,0,1,2
Nombre de cellules concernées,3,1,2
