Nombre de cellules à J0,140
Nombre de cellules à J5,0
Nombre de mitoses totale,710
Nombre de cycles mitotiques,5.07143
Nombre de mitoses normales,650
Nombre de mitoses anormales,60
Nombre de mitoses non dichotomiques,40
Nombre de refusions après mitose,51
Nombre total de morts,71
Nombre de mort sans mitose,4
Nombre de mort après mitose,67
Nombre de sorties,33
Longueur moyenne entre deux cycles,163
Longueur moyenne entre T0 et première division,128
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,CC26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C419,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C749,C70,C71,C72,C73,C74,C75,C76,C77,C78,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C1057,C1058,C1059,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C118,C119,C120,C121,C122,C123,C124,C125,C117,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141
Nombre de divisions,8,0,1,2,0,12,9,6,4,0,3,3,2,3,11,6,5,6,4,3,8,14,0,0,11,7,13,8,11,11,0,10,0,4,7,3,7,4,3,8,3,3,0,7,2,4,3,3,4,7,4,3,7,6,1,12,4,4,6,7,7,5,15,14,3,1,10,13,2,3,15,11,8,3,8,12,7,7,11,12,11,14,11,4,3,2,2,1,0,6,4,4,9,1,3,2,1,13,3,6,11,3,9,7,0,2,1,3,3,8,7,0,1,4,1,2,6,8,6,8,8,7,5,0,2,7,0,0,0,1,6,3,2,0,2,0,1,2,0,0
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Nombre de cellules concernées,19,11,13,21,13,3,10,14,10,3,2,9,4,3,3,2
