Nombre de cellules à J0,13
Nombre de cellules à J5,0
Nombre de mitoses totale,29
Nombre de cycles mitotiques,2.23077
Nombre de mitoses normales,23
Nombre de mitoses anormales,6
Nombre de mitoses non dichotomiques,6
Nombre de refusions après mitose,5
Nombre total de morts,5
Nombre de mort sans mitose,0
Nombre de mort après mitose,5
Nombre de sorties,3
Longueur moyenne entre deux cycles,153
Longueur moyenne entre T0 et première division,194
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Nombre de divisions,1,1,0,3,1,1,3,0,10,5,0,1,3
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10
Nombre de cellules concernées,3,5,0,3,0,1,0,0,0,0,1
