Nombre de cellules à J0,31
Nombre de cellules à J5,0
Nombre de mitoses totale,99
Nombre de cycles mitotiques,3.19355
Nombre de mitoses normales,89
Nombre de mitoses anormales,10
Nombre de mitoses non dichotomiques,7
Nombre de refusions après mitose,8
Nombre total de morts,17
Nombre de mort sans mitose,3
Nombre de mort après mitose,14
Nombre de sorties,12
Longueur moyenne entre deux cycles,157
Longueur moyenne entre T0 et première division,159
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,cc11,cc12,cc13
Nombre de divisions,3,2,2,0,0,0,15,3,0,1,0,3,8,4,3,9,7,10,1,1,0,3,1,1,3,0,10,5,0,1,3
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Nombre de cellules concernées,8,6,2,7,1,1,0,1,1,1,2,0,0,0,0,1
