Nombre de cellules à J0,19
Nombre de cellules à J5,68
Nombre de mitoses totale,70
Nombre de cycles mitotiques,3.68421
Nombre de mitoses normales,65
Nombre de mitoses anormales,5
Nombre de mitoses non dichotomiques,3
Nombre de refusions après mitose,3
Nombre total de morts,11
Nombre de mort sans mitose,2
Nombre de mort après mitose,9
Nombre de sorties,10
Longueur moyenne entre deux cycles,165
Longueur moyenne entre T0 et première division,156
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19
Nombre de divisions,13,0,0,1,0,10,8,13,5,1,0,2,5,7,0,5,0,0,0
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Nombre de cellules concernées,8,2,1,0,0,3,0,1,1,0,1,0,0,2
