Nombre de cellules à J0,18
Nombre de cellules à J5,93
Nombre de mitoses totale,98
Nombre de cycles mitotiques,5.44444
Nombre de mitoses normales,80
Nombre de mitoses anormales,18
Nombre de mitoses non dichotomiques,10
Nombre de refusions après mitose,15
Nombre total de morts,9
Nombre de mort sans mitose,0
Nombre de mort après mitose,9
Nombre de sorties,9
Longueur moyenne entre deux cycles,162
Longueur moyenne entre T0 et première division,202
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
Nombre de divisions,0,5,4,1,16,7,9,1,1,11,1,13,6,1,2,11,9,0
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Nombre de cellules concernées,2,5,1,0,1,1,1,1,0,2,0,2,0,1,0,0,1
