Nombre de cellules à J0,15
Nombre de cellules à J5,42
Nombre de mitoses totale,48
Nombre de cycles mitotiques,3.2
Nombre de mitoses normales,43
Nombre de mitoses anormales,5
Nombre de mitoses non dichotomiques,1
Nombre de refusions après mitose,5
Nombre total de morts,17
Nombre de mort sans mitose,3
Nombre de mort après mitose,14
Nombre de sorties,0
Longueur moyenne entre deux cycles,135
Longueur moyenne entre T0 et première division,197
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Nombre de divisions,0,1,8,8,0,1,0,0,1,3,7,2,1,6,10
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10
Nombre de cellules concernées,4,4,1,1,0,0,1,1,2,0,1
