Nombre de cellules à J0,12
Nombre de cellules à J5,23
Nombre de mitoses totale,34
Nombre de cycles mitotiques,2.83333
Nombre de mitoses normales,27
Nombre de mitoses anormales,7
Nombre de mitoses non dichotomiques,5
Nombre de refusions après mitose,8
Nombre total de morts,17
Nombre de mort sans mitose,1
Nombre de mort après mitose,16
Nombre de sorties,5
Longueur moyenne entre deux cycles,175
Longueur moyenne entre T0 et première division,181
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
Nombre de divisions,12,4,0,3,0,5,1,1,3,4,1,0
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12
Nombre de cellules concernées,3,3,0,2,2,1,0,0,0,0,0,0,1
