Nombre de cellules à J0,15
Nombre de cellules à J5,20
Nombre de mitoses totale,36
Nombre de cycles mitotiques,2.4
Nombre de mitoses normales,25
Nombre de mitoses anormales,11
Nombre de mitoses non dichotomiques,7
Nombre de refusions après mitose,13
Nombre total de morts,19
Nombre de mort sans mitose,1
Nombre de mort après mitose,18
Nombre de sorties,6
Longueur moyenne entre deux cycles,193
Longueur moyenne entre T0 et première division,204
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Nombre de divisions,1,0,1,1,1,11,4,3,1,1,0,3,5,2,2
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11
Nombre de cellules concernées,2,6,2,2,1,1,0,0,0,0,0,1
