Nombre de cellules à J0,23
Nombre de cellules à J5,45
Nombre de mitoses totale,46
Nombre de cycles mitotiques,2
Nombre de mitoses normales,29
Nombre de mitoses anormales,17
Nombre de mitoses non dichotomiques,10
Nombre de refusions après mitose,14
Nombre total de morts,14
Nombre de mort sans mitose,2
Nombre de mort après mitose,12
Nombre de sorties,7
Longueur moyenne entre deux cycles,197
Longueur moyenne entre T0 et première division,267
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C10,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23
Nombre de divisions,1,0,2,2,1,2,0,0,0,5,6,7,3,0,1,2,9,1,0,1,1,1,1
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9
Nombre de cellules concernées,6,8,4,1,0,1,1,1,0,1
