Nombre de cellules à J0,21
Nombre de cellules à J5,144
Nombre de mitoses totale,148
Nombre de cycles mitotiques,7.04762
Nombre de mitoses normales,138
Nombre de mitoses anormales,10
Nombre de mitoses non dichotomiques,3
Nombre de refusions après mitose,8
Nombre total de morts,13
Nombre de mort sans mitose,0
Nombre de mort après mitose,13
Nombre de sorties,7
Longueur moyenne entre deux cycles,185
Longueur moyenne entre T0 et première division,155
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,CC14,C15,C16,C17,C18,CC19,CC20,CC21
Nombre de divisions,3,7,11,2,11,9,3,7,7,7,5,6,6,11,17,1,1,14,14,4,2
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Nombre de cellules concernées,0,2,2,2,1,1,2,4,0,1,0,3,0,0,2,0,0,1
