Nombre de cellules à J0,14
Nombre de cellules à J5,28
Nombre de mitoses totale,32
Nombre de cycles mitotiques,2.28571
Nombre de mitoses normales,30
Nombre de mitoses anormales,2
Nombre de mitoses non dichotomiques,2
Nombre de refusions après mitose,1
Nombre total de morts,7
Nombre de mort sans mitose,1
Nombre de mort après mitose,6
Nombre de sorties,12
Longueur moyenne entre deux cycles,172
Longueur moyenne entre T0 et première division,156
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
Nombre de divisions,2,10,14,3,0,1,0,0,1,1,0,0,0,0
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Nombre de cellules concernées,7,3,1,1,0,0,0,0,0,0,1,0,0,0,1
