Nombre de cellules à J0,6
Nombre de cellules à J5,19
Nombre de mitoses totale,26
Nombre de cycles mitotiques,4.33333
Nombre de mitoses normales,23
Nombre de mitoses anormales,3
Nombre de mitoses non dichotomiques,2
Nombre de refusions après mitose,3
Nombre total de morts,5
Nombre de mort sans mitose,0
Nombre de mort après mitose,5
Nombre de sorties,5
Longueur moyenne entre deux cycles,160
Longueur moyenne entre T0 et première division,192
,
Nom des cellules,C1,C2,C3,C4,C5,C6
Nombre de divisions,8,7,0,5,1,5
,
Nombre de divisions,0,1,2,3,4,5,6,7,8
Nombre de cellules concernées,1,1,0,0,0,2,0,1,1
