Nombre de cellules à J0,80
Nombre de cellules à J5,269
Nombre de mitoses totale,274
Nombre de cycles mitotiques,3.425
Nombre de mitoses normales,259
Nombre de mitoses anormales,15
Nombre de mitoses non dichotomiques,11
Nombre de refusions après mitose,9
Nombre total de morts,42
Nombre de mort sans mitose,2
Nombre de mort après mitose,40
Nombre de sorties,41
Longueur moyenne entre deux cycles,179
Longueur moyenne entre T0 et première division,141
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C81,C75,C76,C77,C78,C79,C80
Nombre de divisions,3,3,3,2,4,5,3,3,2,5,2,3,3,2,3,1,1,3,3,3,3,3,2,1,6,2,3,2,0,2,5,4,8,7,0,5,1,5,0,1,5,1,2,2,7,2,6,12,0,17,7,1,2,11,0,4,1,1,7,11,5,10,4,1,3,3,2,10,14,3,0,1,0,0,1,1,0,0,0,0
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Nombre de cellules concernées,12,13,13,17,4,7,2,4,1,0,2,2,1,0,1,0,0,1
