Nombre de cellules à J0,6
Nombre de cellules à J5,30
Nombre de mitoses totale,28
Nombre de cycles mitotiques,4.66667
Nombre de mitoses normales,26
Nombre de mitoses anormales,2
Nombre de mitoses non dichotomiques,2
Nombre de refusions après mitose,1
Nombre total de morts,4
Nombre de mort sans mitose,0
Nombre de mort après mitose,4
Nombre de sorties,1
Longueur moyenne entre deux cycles,202
Longueur moyenne entre T0 et première division,202
,
Nom des cellules,C1,C2,C3,C4,C5,C6
Nombre de divisions,0,4,2,11,5,6
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11
Nombre de cellules concernées,1,0,1,0,1,1,1,0,0,0,0,1
