Nombre de cellules à J0,7
Nombre de cellules à J5,35
Nombre de mitoses totale,31
Nombre de cycles mitotiques,4.42857
Nombre de mitoses normales,31
Nombre de mitoses anormales,0
Nombre de mitoses non dichotomiques,0
Nombre de refusions après mitose,0
Nombre total de morts,0
Nombre de mort sans mitose,0
Nombre de mort après mitose,0
Nombre de sorties,3
Longueur moyenne entre deux cycles,231
Longueur moyenne entre T0 et première division,131
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7
Nombre de divisions,1,0,7,7,6,3,7
,
Nombre de divisions,0,1,2,3,4,5,6,7
Nombre de cellules concernées,1,1,0,1,0,0,1,3
