Nombre de cellules à J0,10
Nombre de cellules à J5,62
Nombre de mitoses totale,61
Nombre de cycles mitotiques,6.1
Nombre de mitoses normales,61
Nombre de mitoses anormales,0
Nombre de mitoses non dichotomiques,0
Nombre de refusions après mitose,0
Nombre total de morts,4
Nombre de mort sans mitose,0
Nombre de mort après mitose,4
Nombre de sorties,5
Longueur moyenne entre deux cycles,173
Longueur moyenne entre T0 et première division,160
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Nombre de divisions,4,0,4,0,14,14,6,4,9,6
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Nombre de cellules concernées,2,0,0,0,3,0,2,0,0,1,0,0,0,0,2
