Nombre de cellules à J0,7
Nombre de cellules à J5,101
Nombre de mitoses totale,95
Nombre de cycles mitotiques,13.5714
Nombre de mitoses normales,95
Nombre de mitoses anormales,0
Nombre de mitoses non dichotomiques,0
Nombre de refusions après mitose,0
Nombre total de morts,1
Nombre de mort sans mitose,1
Nombre de mort après mitose,0
Nombre de sorties,0
Longueur moyenne entre deux cycles,151
Longueur moyenne entre T0 et première division,140
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7
Nombre de divisions,0,15,22,12,14,18,14
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Nombre de cellules concernées,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,1
