Nombre de cellules à J0,6
Nombre de cellules à J5,81
Nombre de mitoses totale,76
Nombre de cycles mitotiques,12.6667
Nombre de mitoses normales,73
Nombre de mitoses anormales,3
Nombre de mitoses non dichotomiques,2
Nombre de refusions après mitose,1
Nombre total de morts,3
Nombre de mort sans mitose,0
Nombre de mort après mitose,3
Nombre de sorties,1
Longueur moyenne entre deux cycles,155
Longueur moyenne entre T0 et première division,115
,
Nom des cellules,C1,C2,C3,C4,C5,C6
Nombre de divisions,16,14,5,16,13,12
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Nombre de cellules concernées,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2
