Nombre de cellules à J0,12
Nombre de cellules à J5,174
Nombre de mitoses totale,173
Nombre de cycles mitotiques,14.4167
Nombre de mitoses normales,162
Nombre de mitoses anormales,11
Nombre de mitoses non dichotomiques,7
Nombre de refusions après mitose,9
Nombre total de morts,7
Nombre de mort sans mitose,0
Nombre de mort après mitose,7
Nombre de sorties,6
Longueur moyenne entre deux cycles,152
Longueur moyenne entre T0 et première division,72
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
Nombre de divisions,4,5,8,27,25,7,22,26,33,15,1,0
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Nombre de cellules concernées,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1
