Nombre de cellules à J0,37
Nombre de cellules à J5,545
Nombre de mitoses totale,527
Nombre de cycles mitotiques,14.2432
Nombre de mitoses normales,509
Nombre de mitoses anormales,18
Nombre de mitoses non dichotomiques,12
Nombre de refusions après mitose,11
Nombre total de morts,19
Nombre de mort sans mitose,1
Nombre de mort après mitose,18
Nombre de sorties,9
Longueur moyenne entre deux cycles,152
Longueur moyenne entre T0 et première division,98
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C276,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37
Nombre de divisions,0,15,22,12,14,18,14,16,14,5,16,13,12,4,5,8,27,25,7,22,26,33,15,1,0,16,14,5,16,13,12,28,28,9,22,20,0
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Nombre de cellules concernées,3,1,0,0,1,3,0,1,1,1,0,0,3,2,4,2,4,0,1,0,1,0,3,0,0,1,1,1,2,0,0,0,0,1
