Nombre de cellules à J0,12
Nombre de cellules à J5,61
Nombre de mitoses totale,68
Nombre de cycles mitotiques,5.66667
Nombre de mitoses normales,52
Nombre de mitoses anormales,16
Nombre de mitoses non dichotomiques,10
Nombre de refusions après mitose,13
Nombre total de morts,12
Nombre de mort sans mitose,0
Nombre de mort après mitose,12
Nombre de sorties,6
Longueur moyenne entre deux cycles,172
Longueur moyenne entre T0 et première division,167
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
Nombre de divisions,2,0,3,6,4,4,4,6,10,7,11,11
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11
Nombre de cellules concernées,1,0,1,1,3,0,2,1,0,0,1,2
