Nombre de cellules à J0,13
Nombre de cellules à J5,58
Nombre de mitoses totale,68
Nombre de cycles mitotiques,5.23077
Nombre de mitoses normales,58
Nombre de mitoses anormales,10
Nombre de mitoses non dichotomiques,4
Nombre de refusions après mitose,9
Nombre total de morts,7
Nombre de mort sans mitose,1
Nombre de mort après mitose,6
Nombre de sorties,11
Longueur moyenne entre deux cycles,149
Longueur moyenne entre T0 et première division,164
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Nombre de divisions,9,0,2,1,12,12,9,5,2,5,9,0,2
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12
Nombre de cellules concernées,2,1,3,0,0,2,0,0,0,3,0,0,2
