Nombre de cellules à J0,6
Nombre de cellules à J5,9
Nombre de mitoses totale,19
Nombre de cycles mitotiques,3.16667
Nombre de mitoses normales,10
Nombre de mitoses anormales,9
Nombre de mitoses non dichotomiques,1
Nombre de refusions après mitose,11
Nombre total de morts,6
Nombre de mort sans mitose,0
Nombre de mort après mitose,6
Nombre de sorties,0
Longueur moyenne entre deux cycles,229
Longueur moyenne entre T0 et première division,193
,
Nom des cellules,C1,C2,C3,C4,C5,C6
Nombre de divisions,4,7,4,1,2,1
,
Nombre de divisions,0,1,2,3,4,5,6,7
Nombre de cellules concernées,0,2,1,0,2,0,0,1
