Nombre de cellules à J0,67
Nombre de cellules à J5,200
Nombre de mitoses totale,264
Nombre de cycles mitotiques,3.9403
Nombre de mitoses normales,209
Nombre de mitoses anormales,55
Nombre de mitoses non dichotomiques,27
Nombre de refusions après mitose,54
Nombre total de morts,82
Nombre de mort sans mitose,1
Nombre de mort après mitose,81
Nombre de sorties,23
Longueur moyenne entre deux cycles,183
Longueur moyenne entre T0 et première division,171
,
Nom des cellules,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67
Nombre de divisions,4,3,0,3,1,0,1,5,2,3,5,3,1,3,6,4,7,4,1,2,1,9,0,2,1,12,12,9,5,2,5,9,0,2,2,0,3,6,4,4,4,6,10,7,11,11,1,2,4,3,2,3,2,2,2,2,4,1,3,6,3,2,2,4,10,9,2
,
Nombre de divisions,0,1,2,3,4,5,6,7,8,9,10,11,12
Nombre de cellules concernées,5,8,15,10,9,4,4,2,0,4,2,2,2
